,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,Weekly,Video_id,publishedAt,Classification
0,1,1.0,Malvada,Zé Felipe,2,21185310,9.8%,https://www.youtube.com/watch?v=r0mNwyywHIY,2022-02-10,r0mNwyywHIY,2022-01-28 15:00:12,Frontline
1,2,2.0,Malvadão 3,Xamã,8,17063733,-3.7%,https://www.youtube.com/watch?v=i9NOkjmBszo,2022-02-10,i9NOkjmBszo,2021-11-30 15:00:10,Frontline
2,3,3.0,Depende,Dj Guuga,8,11911917,8.7%,https://www.youtube.com/watch?v=v9geHIUOxeA,2022-02-10,v9geHIUOxeA,2022-01-21 15:00:38,Frontline
3,4,4.0,Vontade De Morder,Simone & Simaria & Zé Felipe,4,11243771,3.4%,https://www.youtube.com/watch?v=bgf18kANm_k,2022-02-10,bgf18kANm_k,2022-01-14 14:01:12,Frontline
4,5,6.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,4,9643194,-5.6%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-02-10,kyfXEMqvLgU,2022-01-14 15:00:10,Frontline
5,6,7.0,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,13,9540854,-1.9%,https://www.youtube.com/watch?v=ey6H_cBy-OQ,2022-02-10,ey6H_cBy-OQ,2021-11-12 15:00:11,Frontline
6,7,9.0,Bloqueado (Ao Vivo),Gusttavo Lima,11,9466615,13.5%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-02-10,14C28JSO-sg,2021-11-26 13:59:45,Frontline
7,8,5.0,212,Chefin & Mainstreet,4,9458442,-12.7%,https://www.youtube.com/watch?v=290Q1JFInHE,2022-02-10,290Q1JFInHE,2022-01-14 17:00:44,Frontline
8,9,8.0,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",16,8636187,-2.9%,https://www.youtube.com/watch?v=TNIbXs_iNq8,2022-02-10,TNIbXs_iNq8,2021-10-08 20:57:29,Frontline
9,10,10.0,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,11,7493304,-6.1%,https://www.youtube.com/watch?v=6MNxuMgg58k,2022-02-10,6MNxuMgg58k,2021-11-26 21:00:08,Frontline
10,11,14.0,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,30,7247149,5.1%,https://www.youtube.com/watch?v=jW7j41mbxXU,2022-02-10,jW7j41mbxXU,2021-07-16 14:03:42,Frontline
11,12,11.0,Parada Louca,Mari Fernandez & Marcynho Sensação,13,7031276,-6.1%,https://www.youtube.com/watch?v=SvWQZfEWA0s,2022-02-10,SvWQZfEWA0s,2021-11-26 14:00:21,Frontline
12,13,13.0,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,15,6791344,-2%,https://www.youtube.com/watch?v=r2ma8WPRppk,2022-02-10,r2ma8WPRppk,2021-10-22 13:59:34,Frontline
13,14,15.0,Cabeça Branca (Live),Tierry,19,6103049,-6.9%,https://www.youtube.com/watch?v=J_jJhHhYW9w,2022-02-10,J_jJhHhYW9w,2021-10-01 15:00:13,Frontline
