Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Poesia Acústica 13,"Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã & N.I.N.A",4,11017201,-9%,https://www.youtube.com/watch?v=69-jnA4QLSM
2,3,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,14,8924641,16.9%,https://www.youtube.com/watch?v=WiNYFwIfg4w
3,2,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",15,8195172,-4.6%,https://www.youtube.com/watch?v=8NjXVsLHIg8
4,7,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,12,6928245,11.3%,https://www.youtube.com/watch?v=qjxNM9qF3LA
5,4,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,21,6899417,2.2%,https://www.youtube.com/watch?v=69JAoslGYI8
6,5,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,14,6880759,8.8%,https://www.youtube.com/watch?v=hOGuaMazCz8
7,6,Te Love (Ao Vivo),Kevi Jonny,6,6719536,6.3%,https://www.youtube.com/watch?v=vBQbH4mA_z0
8,9,Felina,WIU & MC Ryan SP,3,6621264,18.4%,https://www.youtube.com/watch?v=wFBp_PHXrf4
9,24,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,3,6494017,91.2%,https://www.youtube.com/watch?v=af8fdbaB8JY
10,8,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,28,6486736,4.8%,https://www.youtube.com/watch?v=rTJSWmgbVwA
11,16,Set Wesley Alemão,"Mc Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",6,6068564,36.3%,https://www.youtube.com/watch?v=
12,10,X1,MC Cabelinho & Dallass,29,5605563,4%,https://www.youtube.com/watch?v=zgdQsLH7sDw
13,,Ex dos Meus Sonhos (Ao Vivo),Gusttavo Lima,1,5523503,,https://www.youtube.com/watch?v=d7NMHcIecCE
14,11,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,39,5335285,7.8%,https://www.youtube.com/watch?v=kyfXEMqvLgU
15,42,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,3,5269739,108.7%,https://www.youtube.com/watch?v=J3H--06Xw6g
16,13,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,25,5054123,6.1%,https://www.youtube.com/watch?v=psdZRggL7cI
17,17,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, MC Erik & Dj GM",16,5047062,15.6%,https://www.youtube.com/watch?v=nbTAKkjnV_Q
18,12,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",19,5025934,2.9%,https://www.youtube.com/watch?v=NbB6qMA2lts
19,14,Digo ou Não Digo (Ao Vivo),João Gomes & L7NNON,3,4729585,2.2%,https://www.youtube.com/watch?v=Wv6xQMEC-Wo
20,20,Seu Perfil (Ao Vivo),Henrique & Juliano,37,4445545,13.5%,https://www.youtube.com/watch?v=KvAagUxO3OY
21,18,Gostosinha é Ela,Felipe Amorim,12,4061774,-2.3%,https://www.youtube.com/watch?v=zSRjeUpQUwI
22,,Esperando Você / Mundo Inteiro (Ao Vivo),João Gomes & Yara Tchê,1,3903971,,https://www.youtube.com/watch?v=FQgZAj45ojY
23,50,"ORUAM"" - SOLDADO DO MARCINHO, BRABÃO DE ALEMÃOZIN BRECHAR PRA MIM [ ÁUDIO COMPLETO ]",Oruam,2,3817942,59.4%,https://www.youtube.com/watch?v=rALK230exU0
24,23,NÉ SEGREDO,MC Cabelinho,4,3800049,9.3%,https://www.youtube.com/watch?v=GqLrlHHeww0
25,19,Quem Não Conhece Tá Sem Internet,"MC Marks, DJ BOY & Dj GM",6,3747247,-6.9%,https://www.youtube.com/watch?v=oc0wsia4b3E
26,22,Intuição (Ao Vivo),Mari Fernandez,23,3726968,-3.5%,https://www.youtube.com/watch?v=rfkXgby-xn0
27,15,Doce Veneno,"Mc Paiva ZS, Love Funk & Kotim",11,3646389,-19.7%,https://www.youtube.com/watch?v=thfYx-W63ws
28,25,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,12,3421664,17.6%,https://www.youtube.com/watch?v=pPxs52_MVIU
29,29,Unholy (Live),Kim Petras & Sam Smith,3,3329086,16.7%,https://www.youtube.com/watch?v=Uq9gPaIzbe8
30,27,Bloqueado (Ao Vivo),Gusttavo Lima,46,3323403,16.2%,https://www.youtube.com/watch?v=14C28JSO-sg
31,21,Nois É os Cara,"Mc Paiva ZS, Gabb MC, MC Kadu, Love Funk & MC Lemos",21,3135963,-19.7%,https://www.youtube.com/watch?v=wumB0Qs2YT4
